Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/03/26,SALARY-ACME TECH PAYROLL-CORPREF001,REF1000000001,01/03/26,,85000.00,125000.00
02/03/26,UPI-MERCHANT_ALPHA-lunchhub@upi-PAYMENT,REF1000000002,02/03/26,420.00,,124580.00
03/03/26,UPI-MERCHANT_BETA-citycab@upi-TRAVEL,REF1000000003,03/03/26,315.00,,124265.00
04/03/26,UPI-CONTACT_ALPHA-friendtransfer@upi-TRANSFER,REF1000000004,04/03/26,2500.00,,121765.00
05/03/26,NACH-HOME_LOAN_SERVICER-EMI,REF1000000005,05/03/26,18500.00,,103265.00
06/03/26,UPI-MERCHANT_GAMMA-freshmart@upi-GROCERIES,REF1000000006,06/03/26,2280.00,,100985.00
08/03/26,UPI-MERCHANT_DELTA-streamflix@upi-SUBSCRIPTION,REF1000000007,08/03/26,499.00,,100486.00
10/03/26,INTEREST-SAVINGS-CREDIT,REF1000000008,10/03/26,,125.50,100611.50
12/03/26,UPI-MERCHANT_EPSILON-medplus@upi-PHARMACY,REF1000000009,12/03/26,860.00,,99751.50
15/03/26,UPI-MERCHANT_ZETA-flyrail@upi-TRAVEL,REF1000000010,15/03/26,5400.00,,94351.50
18/03/26,UPI-CONTACT_BETA-rentshare@upi-TRANSFER,REF1000000011,18/03/26,,6000.00,100351.50
20/03/26,UPI-MERCHANT_THETA-shoplane@upi-SHOPPING,REF1000000012,20/03/26,3240.00,,97111.50
24/03/26,UPI-MERCHANT_IOTA-dinehouse@upi-FOOD,REF1000000013,24/03/26,1180.00,,95931.50
27/03/26,UPI-MERCHANT_KAPPA-powergrid@upi-UTILITY,REF1000000014,27/03/26,2100.00,,93831.50
30/03/26,CASHBACK-REWARDS-CREDIT,REF1000000015,30/03/26,,350.00,94181.50
